content,class
know reason instal lazada deliveri servic forth honest expect surpris great servic featur discount could go forev deliveri servic also amaz cheap well great shop,1
good,1
offer similar good cheaper price compar establish local q platform,1
alway good suddenli view cart tri chat help centr yet solut,-1
disappoint refund option contact directli send screenshot instead ive alreadi send requir fact video custom servic personnel still need anoth step product receiv alreadi defect still need go hassl,-1
good easi buy,1
love,1
good servic,1
good,1
far good,1
good,1
ph scammer,-1
shopp ur deliveri screw big time one simpl small u took almost month ninja van say sent till receiv noth pl dont wast time accept request refund dont cheat ppl money guy think twice b u want l use shop,-1
lot good discount mani found spore found om shopp,1
realli love great product cheap price worth cours read review purchas issu mostli,1
reason price good condit great respons trust,1
alert buy anyth cheat money worst shop site ever never give product scam scam scam,-1
good app ui make shop onlin easi great discount coupon sale merchant hope store sale give coupon bank give discount use card,1
wide rang product lot rebat good deal practic bought someth everyday lockdown,1
first time buy good experi shop often,1
price good product much descript,1
great,1
made purchas mostli good one messag request star steamer receiv dent side hope feedback channel custom report,1
problem becom problem ask wait long long money back disappoint,-1
mani free ship mani choos abl choos cheapest one review direct chat good like shopp coin expiri date add stress shop experi minu star,1
great platform buyer easi fuss free complet transact provid product list,1
thank sg good deal,1
gd initi gotten scam onlin order hard glass case phone receiv plain transpar rubber case phone initi refund wait respon way report scammer xiaomi offici global store gave voucher reorder miss due cni xiaomi mail order system auto cancel order wait xiaomi respon,-1
good servic,1
good,1
good,1
good onlin shop price product happi shop highli recommend,1
great shop experi,1
good love use app,1
good shop,1
wide rang product good price,1
sorri say bit weird day prepar send good understand mayb get readi better way good hand send good asap right payment confirm realiz even reach onlin first time user servic bot realli disappoint human be day maximum good readi otherwis put good websit,-1
good e,1
good offer use voucher equal offer good servic product purchas experi miss lag sometim biggi though,1
gener good experi purchas via recommend,1
great varieti product,1
good mani great deal daili,1
good,1
order updat enabl notif get unwant notif everi day social updat junk like shopeesg publish new post watch shopeesg live clearli uninterest otherwis good,-1
good thing one confirm releas payment reciev,1
pleas buy caution refund process receiv tediou protect buyer,-1
scam app view purchas make payment purchas folder prompt download client view folder client download success either user account disappear day close open app app miss hp terribl app rm big deal either realli annoy cheat app advertis tv hari raya,-1
feel good order,1
shop notifi first receiv good therefor make decis purchas mani sell name price mostli afford product good qualiti love shop,1
great easi use easier place order,1
great shop platform issu refund slow want cancel chang inform deal suggest refund faster hr shop deliveri ship one learn taobao fast even intern case,1
good,1
initi thought great mani competit cheap price howev recent problem whenev add someth cart return home page troublesom want order thing differ colour annoy time,-1
good shop statu purchas well track everi stage addit one plu point buyer contact thru well done,1
gener good face problem particular lag game sinc latest updat also updat phone os sure caus lag hope team rectifi,1
user friendli easi navig shop eas good,1
good product simpl user interfac abl interact earn redempt coin play game review rate system made purchas easier enjoy shop got say chang percept toward onlin shop,1
love differ way run busi game free coin love,1
satisfi purchas experi good deal time,1
way get rid buy display page great seamless transact,1
deliveri good servic servic,-1
good,1
offer great price,1
love way servic love way pick nice,1
terribl glitchi hell caus rucku made look like idiot mistak made instead assist fix issu even cant noth parcel file disput refus refund realli gonna get lot stuff platform look issu handl would rather shop elsewher amount servic provid,-1
servic good,1
well mirco sd card order need refund till faulti custom servic ask wait week week believ th week overal shop great buy electr stuff pleas dont buy,-1
good,1
love shop find alot reason stuff easi use,1
lot stuff search good bargain,1
worth risk money purchas servic handl disput absolut horrend side reject return refund request even evid provid proof receiv defect would give star abl,-1
great place shop great deal excel servic,1
price good howev hate deliveri time take mth deliveri becam wors miss ninja van appoint respons sinc wait deliveri ninja van sinc serious chabg deliveri vendor,-1
mani stock u purchas refund cancel order advis order,-1
great marketplac never experi yet load voucher easi redeem,1
shop make easi love offer wide rang product,1
easi use lot varieti transact smooth even refund process wrong deliv quick,1
good reason fast deliveri,1
easi use user friendli navig around easili nice cashback coin incent good job,1
request refund meant self collect ask return product receiv first place respons despit email queri,-1
gd experi deliv love,1
unhappi order get wrong ask cancel refund give voucher instead refund mean fhave buy ask refund understand even help even alreadi show explain problem,-1
shop experi far good local deliveri fast qualiti good,1
arriv good shape take long,1
costum servic wack isnt made well entir compani scam stan lazada,-1
disappoint frustrat slice game allow user use coin get anoth chanc howev updat score rank everi time use coin play play least time alreadi rank still scam,-1
cb period enjoy shop onlin thank make thing want good condit,1
good product reason price prepar pepper notif cannot turn worst live infomerci session indescrib terribl,-1
good overal easi use shop sometim lag check overal experi great,1
love take time use coz im good read us dollor chang php peso,-1
great app,1
due covid abit worri order oversea good custom servic fast repli email,1
good use recommend hope new cheap product discount oh free ship thrice month would great idea dontchathink peac,1
great shop,1
great mani offer bewar oversea purchas check review make sure price good true especi electron accessori,1
basic get anyth want great place onlin shop,1
good,1
use platform onlin order effici refund order receiv issu settl promptli call custom servic worri credit card inform detail store system hope fulli protect,1
satisfi purchas still thing look good pictur arriv bit disappoint,1
problem stabil mani time fail load lazada place good deal ebay longer best place deal polici protect buyer keep,1
good,1
easi platform shop buy far legit good,1
alert buy anyth cheat money worst shop site ever never give product scam scam scam,-1
hello paid receiv ninja email back alreadi deliv ti paid scam need custom servic give answer to pl,-1
feel platform safe ye irrespons sell product defect seem pretti easi exchang refund money releas agre well,1
far servic good,1
good,1
horribl ui return refund process design confus one reason mind pay amazon us us vendor get unparallel custom servic use platform,-1
good platform decent varieti product,1
everyth good howev part mani actual dont repli chat within defeat purpos messag function mayb guy improvis chat system provid benefit custom buy rate instead rate product,1
great onlin shop platform look forward improv good deal afford price better servic,1
would great accept payment net,1
pleas avoid use platform especi big purchas felt like scam gave huge coin promot valid coin mere month purchas use earn coin limit quantiti allow usag coin one shot realli essenti store spend regularli end coin forfeit lost worth coin,-1
good receiv pay buy yr risk,-1
buy till came across bbmsg realli side sure go trust onlin brought doesnt fix model col also match insist right n unfriendli want refund disput anyhow releas payment fund realli salut shopp assist scam gonna delet app use back ezbuy use yr back,-1
love escrow system well help support staff keep good work,1
disappoint local home deliveri improv servic becom downgrad servic local deliveri week receiv write local deliveri work day time use purchas onlin last time good deliveri local day handov home deliveri compani know deliveri compani keep day store improv star,-1
great,1
experi first buy shopp bot paid one told stock cancel order anoth bit deliv chat told anoth stock ask refund repli ok refund receiv,-1
good like,1
easi buy product daili mostli fast deliveri great compar product price unlik onlin shop,1
good place shop,1
worst return almost imposs adam qualiti cloth also good size measur appropri alway mislead cuatom,-1
lag time good,1
good servic,1
great,1
easier purchas experi great,1
great,1
get good deal great price,1
great onlin shop experi although fake like onlin shop think handl well refund fast got spoil fake product,1
easi use track good n fast deliveri continu explor,1
good discount need better search algorithm,1
good,1
less month sinc join experi follow notifi got voucher voucher system checkout ghost system remind appear event finish suppos set alarm clock deliveri never came system prompt deliv know singatur realli trust worthli think close good,-1
first time order store good trust ask store click purchas covid epidem time stay safe ya,1
st time tri got experi wait long respond need refund await approv,-1
good servic,1
good shop go overboard shop good stuff especi household littl buggi time henc star product page sometim load rare,1
quit good alway interest game win coin except mayb time play bit odd work peopl,1
good varieti low price,1
exactli good experi shop page load slowli voucher claim shown wallet pleas improv issu,-1
great experi shop onlin circuit breaker,1
nice fast deliveri good product find thank,1
vri good buy e thing n deliveri home receiv e msg,1
great top onlin market,1
horribl experi bought never receiv ask refund call investig find proof ship pl check neighbour post box use track number check deliveri compani without consent payment releas buyer right platform horribl worst shop ever use,-1
scam app abl give star happi cheater doesnt help much cheap believ,-1
app good slowdown realtim updat festiv sale due traffic,1
good,1
enjoy good price,1
good experi user interfac easi use track deliveri,1
product r cheaper attitud nice u give good comment,1
good onlin shop lot found far satisfi get want although ship delay took quit long receiv worth wait caus qualiti good receiv describ,1
good place shop,1
great onlin shop mani discount cashback option,1
good servic receiv product fast pictur,1
love sprite lipstick,1
good servic,1
system suck take page amazon deduct payment ship give buyer time reconsid cancel order sadli hold might take week ship stuck would never buy anyth use anymor addit note requir handl return unlik lazada provid return servic anoth good reason use,-1
receiv purchas protect buyer assist refund told contact directli told contact platform onlin shop shame,-1
far quit respons account price attract well wide rang product avail though tend suddenli lag time time close reopen far good,1
great lot discount,1
great shop platform easi understand use,1
good easi n truste,1
good product qualiti,1
great allow compar differ reciev coin use next purchas,1
love,1
great app,1
got time buy got time receiv differ ever met buy dollar shop differ display photo price look like dollar applic manag attitud poor better buy taobao ori app qualiti assur refund,-1
good hope someth aboit sell fake good,1
scam scam scam worst shop site ever take money never give product,-1
love,1
sell mani thing good price brows everyday,1
user interfac good howev buy accept order without confirm stock result order cancel,1
conveni wide varieti product good price fast deliveri,1
great price reason ship time overal good experi thank,1
lag scroll took get next page love pleas fix,1
far good till fail protect dishonest,-1
great servic,1
good,1
disappoint servic provid alot spam product list platform wherebi deliv differ brand qualiti advertis refund return process complic end buyer accept also still allow sell spam product although report via email prove henc case never take action protect consum,-1
awesom made great purchas staff onlin patient littl slow come deal damag,1
good experi favourit shop although sometim deliveri partner use effici,1
far good experi buyer particular happi fast collect incom,1
shop via sinc last year good platform search esp tri time thank stay safe,1
disput refus give back money protect disput cancel give stupid reason call disput team contact never contact experi good luck order might get lost might get money back call custom servic ask wait,-1
good platform buy onlin lot beauti interest stuff,1
far good mani thing w reason price tag,1
deliveri fast qualiti product good,1
purchas receiv promis good condit,1
good,1
warn singapor buyer recent purchas stuff sent faulti product within certain time frame didnt get back return product schedul releas payment finish transact without get back refund serious feel like scam dont feel safe shop platform,-1
good onlin shop,1
order lost money didnt get good refund yet,-1
good lot thing buy afford price,1
platform full counterfeit product fake warranti card counterfeit product made china action taken even though u report importantli refund button total useless u even refund although u sent evid prove sent u counterfeit product violat tnc bewar u wan shop sell u counterfeit product unreason price disappoint,-1
love,1
good transect,1
dishonest platform cash back coupon appli make payment receiv receiv coin instead coin custom servic keep say coupon appli ask screen shot make payment realli fxxk screen shot make payment think twice buy ba good luck u allllll,-1
coin scam coin expir tri use guid buy write support respons day uninstal,-1
great bargain found,1
good sale,1
good condit fast deliveri,1
great platform love free ship option,1
big prize believ otherwis good,1
great shop experi,1
reliabl transact purchas need clear payment upon receipt good satisfi good demand refund good ship accord schedul date receiv good time give refund,1
far good easi use platform product qualiti usual match valu,1
happi thing need afford easi use conveni like work mum got enough time shop tri onlin shop end disappoint complet like come onlin shop thank,1
v good,1
alot varieti thing see buy awesom price great,1
good experi tq,1
avid support anoth onlin shop brand option confirm sale deliveri done much better atleast tri order abil confirm make return certain great job team,1
late shop sg order china great,-1
good,1
excel love buy thing shore thing afford,1
great easi use intuit tend crash big sale period,1
great shop everyth look payment secur import,1
great buy stuff rate star recent coin suddenli went disappear,1
far good,1
easi use quick buy good qualiti,1
good good,1
wouldnt use ever order boot mat car got sent roll sticki tape took forev get refund want delet account tell shipment sent wait payment actual look see order one shipment sent wrong refund want delet account advic use,-1
overal good experi respons support via live chat howev still need time familiaris featur interfac use previou shop anoth compani read review other remind problem encount frequent would hang randomli close open work would gripe,1
good,1
good experi howev use samsung brows sometim brows mani page might get abit laggi,1
love everi purchas,1
good app,1
deliveri time product good qualiti,1
good store need work annoy see ad product mistakenli actual product search ad logo need red orang gray colour let user custom know ad,1
easi breez shop u find realli good bargain deal,1
good platform sourc reason offer,1
easi use wide rang product great discount notic slow keep brows long time close start,1
numer date nice design price also reason alway find valu money great shop experi especi festiv season near need buy gift alway turn brows great varieti find valu money also quick respond issu relat purchas return would recommend friend buyer,1
great deal far easi transact encount yet never hope,1
huge varieti great price whole shop experi easi,1
easi use mani great offer,1
use buy thing wish found recent realli love compar kind bought wish price mostli cheaper qualiti better,1
good check bought came good nice packag,1
fast respons fast deliveri good qualiti thank,1
good platform onlin shop,1
great platform easi purchas product,1
great place find thing want compar price differ,1
good easi use,1
easi use larg error free good rang product suit budget,1
good,1
good shop experi price cheaper other platform discount voucher get refund support buyer protect,1
good,1
good,1
far purchas receiv good condit,1
great cheap deal mani discount issu sure product real fake sometim ship fast free,1
great product best price thank,1
good,1
suck la ui serious damn dumb payment page peopl go pay cheer stupid payment page scam less peopl use voucher coupon code co go back mean voucher coupon code appli gone alreadi rais queri say get back within day week alreadi still word wors servic ever delet receiv delet account,-1
definit great platform onlin shop hope varieti choos,1
shopper favourit onlin shop platform user friendli good deal especi secur shopper guarante keep good work team,1
great time shop home conveni reliabl,1
great applic get discount purchas,1
easi use quit reliabl platform track payment order submiss ship inform money releas good rec well confirm buyer coin reward encourag user comment user read other review purchas,1
good give troubl costom case make complic ask refund honest,-1
good fast deliveri cheap price discount,1
crash user tri refund cannot get refund irrespons pleas take action,-1
overal good plarform onlin shop,1
good varieti recent notic shopp frequent lag hang must exit app n go overal experi still good hope small issu resolv,1
great shop mostli want found thx,1
easi shop love,1
great platform purchas team extend help hand u encount issu respons act readi creat sunni day u cheer,1
platform may good vendor irrespons updat delay someth regard order vendor even respons quickli,-1
great discount deal found search patienc,1
user friendli good servic order deliveri,1
great way shop without leav home order deliv time manner good receiv particular date refund effect take away uncertainti onlin shop,1
friendli navig downsid descript detail pictur overal still great use,1
review censor mostli fake review other price good especi low deliveri cost buy brand pl cautiou,-1
great love shop buy thing wors experi deliveri compani self declar deliv signatur receiv want lose great onlin shop pleas look serious,-1
easi find stuff never disappoint,1
good,1
great lag time,1
inconsider custom servic suddenli chang minimum spend fine print refus refund even though term condit say non refund,-1
platform anyhow ban account worst platform good discount voucher hope u dun ban acc,-1
great servic alway,1
good best,1
good,1
good releas money done recipi confirm receipt,1
best shop ever tho u need alert scammer,1
shop good need alot time deliveri,1
shopp total disappoint cheat call free deliveri esp purchas larg amt claim stock payment got stock jist claim deliveri fare check woth thw shop owne said ot ne problem disappoint,-1
bought qualiti ok except disappoint sent talli descript sometim size much smaller expect,1
good easi,1
love deliveri call n make sure u home n give code confirm,1
great,1
good,1
good,1
good,1
cheap love product ship wait take time,1
good ecommerc store altern lazada q,1
happi reciv order receiv good condit give start,1
payment easi shipment time better onlin shop covid circuit breaker contactless deliveri good notif prompt,1
use love howev recent updat auto log cant sign back receiv cant seen appear delet reason,-1
good platform reliabl,1
deal good app sometim lag,1
fast deliveri well pack protect custom good,1
far good moment,1
experi receiv spoilt superd sg ask send new one refund want refund say send new one buy next new order send togeth new order think stupid buy superd sg cheat time enough,-1
disappoint chase custom servic help add phone number address account imagin simpl task ad phone number address gotten frustrat neither websit allow enter phone start number issu still open,-1
good,-1
love shop easi use product avail rel cheaper retail store,1
start use work alright one major problem would lower qualiti photo sharpen function adjust product look good want would great team work issu cheer,1
good servic flash deal lucki draw,1
use order taobao carousel longer found ship fee cheap fast even covid situat good qualiti new spend hundr wk excit receiv mini sew machin kitchen utensil bake tray happi custom highli recommend,1
use good late problem upload receipt transfer receipt photo pc use ie chrome upload receipt frustrat,-1
great shop experi,1
good onlin shop platform never receiv anyth fake feel secur use applic lot amaz deal game earn coin,1
good experi far,1
bought receiv good order nice pack,1
great,1
good,1
disappoint recent softwat updat cant use anymor disappoint help team solut ask use via desktop aint happen alway use handphon,-1
realli love receiv discount n coupon thumb postag fee charg accord weight fair buyer n edit nov see improv cheaper ship fee oversea deliveri time hv shorten fr wk wk well done still room improv eg promo product still lowest price,1
receiv good condit,1
user friendli custom servic far great,1
thrash platform hotlin help chang deliveri address contact logist provid make chang good job provid excel custom support close call centr see benefit provid qoo offer better servic first last time purchas repli chanc lifetim guess guy gave number call two day yet get respond,-1
transact scammer lurk differ pseudo,-1
good better howev appear give wish lazada run money disappoint sinc start use,1
great shop experi,1
satisfi purchas thru use ningja van deliveri compani good choic,1
compani scam blink blackpink fan meet june compani integr,-1
good conveni lot varieti choic,1
good shop experi expect,1
good experi shop circuit breaker period play game collect coin deduct purchas fun enjoy use lot find liter everyth want need cheaper reason price thumb,1
good experi great shop platform,1
good,1
great,1
love stuff cannot find platform hope paylah payment payment still hassl,1
love buy alot stuff pay conveni get alot steal well,1
app great custom servic provid poor unprofession purchas send wrong faulti request advis return replac custom servic noth assist issu disappoint,-1
far good,1
realli love shop r cheap n usual come describ much issu ship n deliveri disput resolv properli custom servic highli recommend,1
rate ad piss edit haha nice bot thank everyon rate good job ignor critic review given learn appli level denial job saf,-1
easi shop great price offer,1
perform horribl anyth newest flagship sure good deal get deal less frustrat,-1
good quick express,1
scam protect buyer staff even lie consum refund polici use risk,-1
good,1
total disappoint worst custom servic,-1
scam problem resolv team care,-1
love shop,1
min ship rate refund fast,1
great onlin purchas highli recommend trust,1
far good,1
love reason price,1
user experi good deliveri great design aesthet improv,1
great easi shop,1
use purchas gain trust buy howev product qualiti defect recent surg rise plu buy make disappoint advertis moreov reliabl sell long term rise think spend buy unless need,-1
usual love awesom fine till updat sale event glitchi af screen load font fli white screen kindli reactifi issu start want use platform shame good thing go,-1
good keep sometim coin didnt get,1
easi use game quit interest get use shopper coin offset part payment definit good shopper,1
user friendli onlin purchas platform pretti good deal love free gift st time purchas,1
best shop good deliv promis time love,1
good far lota deal bought almost good enough price exceed expect expect,1
good platform compar other,1
almost want get good price,1
afford user friendli great,1
love shop use usual recommend friend eversinc sale im problem glitch time time keep refresh sure problem,-1
good shop onlin,1
make afford shop realli conveni flaw like inact unrespons occassion poor qualiti great whole servic great,1
great shop event terribl server issu could even checkout anyth gave buy anyth least could get someth platform,-1
give order good,1
great onlin servic get chat enquiri even purchas highli recommend,1
far good use app fast respond notifi someth crop,1
great app easi find respons custom servic alway help u enquiri secur buyer cheat,1
great eas use abl find thing other,1
gener good shop experi need wari take action awar,1
good experi far fast ship,1
refund hassl must respons agre obvious bother respond refund return lazada still best,-1
good,1
good,1
notic sele unaccept mask tri n test disappoint refund given ppl complain n nit ban nid improv,-1
thought buyer review read encount custom servic kelli take long time repli copi past polici read pleas offend ban without good reason bewar,-1
first time use disappoint,-1
return polici good use lazada better,-1
good,1
avoid buy thing alreadi report googl fraud bought never ship anyth stop scammer let report get remov playstor dont understand rate even cant even help get money back ill make polic report also,-1
good experi use app far experi issu deliveri side review futur start spend higher price product,1
love fast deliveri,1
v good reliabl,1
alway n updat love part chat,1
scam,-1
good deal receiv good condit fast deliveri,1
nice use tie shopback still offer good price,1
far smooth transact experi arriv refund fuss free,1
easi use alway find good deal,1
great alway buy stuff save moni,1
love app much varieti good choos user friendli,1
far satisfi time arriv good condit,1
love onlin shop recommend everyon,1
custom servic execut help n patient issu thruout phone call easi use n wide varieti merchandis choos great platform buy reason price directli china guarante buyer protect satisfi,1
good normal cheaper compar app thumb,1
encount experi get sweater first first purchas second month later think could give anoth shot uninstal rip bought sweater xxxl came size ask refund made procedur even talk person sell specif valid till second time probabl worst shop site encount sorri,-1
far experi great respons respond fast forget game,1
good,1
platform notori post mislead ad send complet differ take platform refund also laughabl clearli written refund automat process day without respons yet contin follow cs frustatingli met can answer even think look order detail kept give step alreadi done mention rate,-1
great,1
great place shop lowest price offer thank,1
pretti good experi far user friendli,1
good platform one star loss due inconsist connect lack optim function wise fair,1
love shop win alot coin,1
good,1
love platform other offer alway better,1
although tool sell advanc howev realli gener sale realli get good deal often coupon code,-1
good bought mani thing price usual cheaper lazada mani shop offer free ship coupon offset ship fee also offer free coin u give rate review task price deduct check edit coupon last week electr product much expens offici brand websit googl major brand make purchas,1
result full amt voucher compens chase accept apolog disput team let support ppl apolog behalf disput team side buy english chess board piec time order get chess piec want refund chess board take moni chess piec play like hope disput team demo play chess without board draw paper play shop runrun sg,-1
fake fill scammer never got ask refund need disput claim receiv send money never got evid didnt get ask deliveri servic said didnt send rip untrustworthi happen time want tri abit worth scam everi time go live chat dont answer question avert smh bia toward,-1
far good check everyday wz coin use offset purchas,1
good,1
user interfac applic messi refund resolut tediou careless allow disput refund bargain buyer even though good defect good custom servic resolv favour experi,-1
good servic,1
great cheap price,1
fast deliveri good condit afford price,1
start use good experi far quit respons order sent day sure option choos deliveri type e courier vs snail mail good option,1
good,1
good good servic alway like purchas,1
bought electron problem buy voucher expiri log abl retriev voucher refund want buy second rate n perhap fake one look,-1
add option payment that easier add use paypal that great easier found review site cant upload vedio clip upload vedio clip show think better,1
good,1
far good deliv shown describ issu payment refund,1
pleas add cash payment method great help,1
good,1
easi simpl way chat countless good get,1
good servic,1
love,1
good love onlin shop gener cheaper especi flash sale,1
support damag product compar onlin app use lazada year even high price product happi servic found product much cheaper negat support buyer product wait refund think delet account would like say give posit feedback none deliveri good,-1
good recommend,1
experi support staff syifaa cut chat halfway know resolv matter make confus buyer submit refund request u end lose pay refund support staff polit say sorri tell u help edit apr got end agent name iqbal abruptli sure rude cs solv problem,-1
like live auction great bargain like flash sale discount price,1
great buy far,1
easi use also chat merchant purchas huge array purchas cost save price great experi far use,1
get valu time time time annoy game asid good shop,1
easi shop purchas arriv satisfi condit refund prompt henc reliabl unquestion,1
bit slow sometim overal good,1
neg side receiv good box dent condit,1
good deal use lot day,1
good experi n deliveri personnel encount far also easi use,1
great experi user friendli app,1
custom protect polici toooooooooooo prioritis scam shame fool,-1
receiv broken temper glass took pic immedi request pic refund disput email receiv instantli ask proof proof u want pic clear enough far never experi lxzxdx obviou make thing difficult us cost afford make spend hour refund best,-1
use good alway hang mani time app unabl load page brows partial photo load,-1
great lot improv sinc first join though lag day rather ignor,1
great easi use,1
time order statu order receiv good condit prompt repli,1
great onlin shop great purchas,1
love draw good onlin shop,1
enjoy shop experi custom servic great,1
good,1
good place find vast product good price,1
good deal found thru compar other,1
good,1
good easi navig deal great howev voucher better past hope see attract voucher soon,1
easi use lot product great price,1
servic good effici,1
good,1
good experi far,1
good price happi purchas,1
far great platform shop home essenti purchas lot site,1
good experi far,1
good,1
good better deal onlin shop app esp price product deliveri servic also one notch faster,1
good shop experi,1
good servic silki smooth cloth,1
good easi use fast deliveri reliabl,1
love shop,1
shop good deal good milloin shop,1
good shop experi easi interfac,1
easi peasi love servic got fast accur,1
allow refund defect good,-1
difficult go payment procedur use shoppi pay refund transfer shopp pay bank account,-1
far good,1
price attract far product receiv good condit,1
might find great deal flash deal,1
good onlin site user friendli interfac easi use,1
great shop experi,1
buyer care cannot trust rate shop hide review rate show good rate understand allow,-1
good,1
good,1
alot scammer receiv product state put complet,-1
far good,1
good platform find great deal awesom promot love best credit card partner promot way go,1
good product fast deliveri highli recommend,1
great interact shop fun game win discount voucher lucki draw,1
work well mani good deal although deal retail shop much cheaper probaabl due valu densiti,1
good app good deal,1
good shop fast deliveri,1
softwar good help center good enough sent wrong ask refund tell correct reject request recommend buy platform,-1
good,1
quit good buy coupon abit irrelev time,1
purchas product arriv soon great howev free welcom packag deliv eventu cancel shopp ask compens asnwer lousi,1
mart suck order order apr expect receiv may noth receiv till may chat live agent instead check st suggest click refund want said check updat day later ask tell refund without give reason guy j express also call ask gave detail repli despit repeatedli ask updat week,-1
good layout could better notif improv sometim randomli shout bit intimid,1
good shop platform alway use daili basi mani cheap deal star recent updat stingi coin also lesser voucher given nowaday give u voucher increas min spend requir use voucher,1
good,1
good,1
good inform servic includ deliveri inform,1
good shop experi far,1
consid good begin stage,1
faulti product refund deal good,1
love shop experi bargain,1
shopeescam,-1
happi onlin shop thank sg pleas continu good servic custom god bless,1
great commun wide rang product,1
feel safe money shop onlin great app thank,1
one prefer platform onlin shop custom servic prompt good receiv far good condit,1
good,1
dear fellow singaporean make sure whatev shop extra care although product cheap qualiti sometim ask refund say reason want cancel order tri find way order still way although u alreadi cancel n demand refund help much ask email call explain sent photo investig n etc frankli speak help lose end wast time get back refund care buy onlin product,-1
love option select zero ship fee albeit slightli longer deliveri time look forward flash deal keep,1
love shop super lag late alway hang load get frustrat pl give updat,1
great,1
bought twice far good continu purchas,1
good,1
scam never receiv good paid never bother contact,-1
good servic,1
good platform onlin purchas,1
good,1
dont respond u claim refund sent receiv u cannot leav feedback stock still sell rate left,-1
good shop,1
mani rang product great onlin shop platform,1
total scam care order china especi user myqueen sg order total sgd total qti send qti submit refund disput claim send total dishonest simpli releas payment refund could pleas refund money amount alot,-1
favourit shop thing refund exchang polici could whole lot better,1
great platform onlin shop,1
great e commenc platform hold money till confirm receiv releas money,1
repli us refund us damag return report concern action made,-1
good shop experi howev wish screen text size could bigger least allow user zoom mani time coild see promo detail instruct screen get crowd,1
good like deliveri good take week,1
use referr code referr show click checkout pope messag promo code cannot appli due abnorm activ detect even email get explan issu email receiv also explan made disappoint,-1
good purchas good true far,1
good job issu,1
great shop line thank,1
good onlin shop need pay attent scrutinis qualiti product servic,1
use via shopback get cashback howev recent notic longer part shopback disappoint overal stop use price pretti cheap receiv good condit,1
filter function need improv good similar lazada,1
user interfac bit messi love ad featur earn credit provid review set futur purchas,1
good,1
great,1
look good yet tri,1
great onlin platform wide spread merchant offer great price deliveri fee usual lower competitor,1
good shop app get find compar similar product diff read consum review star rate earn coin rebat offset purchas play game recommend,1
product good,1
didnt reciev order never got refund alrdi send back bloodi blood suck parasit,-1
great platform purchas stuff deal afford ship within mention time issu receiv,1
good use,1
platform give damn custom experi work well need request refund go extrem length give run around promis refund wallet th dec jan refund seen went differ custom agent give care custom alway end chat prematur latest one told need upload nric new wallet get refund hello pdpa,-1
start far good term deliveri packag,1
good secur pack profession deliveri notif accur easili follow first time use thank much best regsrd amylok,1
honestli one hassl free reliabl e commerc platform use bought receiv good well refund good problem look forward greater thing disappoint,1
good good bought reason afford price,1
good afford price,1
still go platform onlin purchas issu almost alway solv quickli respons rate good,1
bloodi dont want settl bloodi refund,-1
great use platform also collabor bank offer discount use credit card limit number expect great save flash sale,1
great onlin shop platform,1
miss good deal issu pay via credit card option still unresolv,-1
problem latest transact side help said done everyth ask still avail there still repli disappoint guess u lost loyal shopper,-1
great shop keep get connect issu tri add cart even uninstal instal,1
app great respons use slow need contact custom servic assist,1
lot thing search buy valu money thank good platform inde,1
good experi far tq,1
love buy much cheap lockdown,1
great hope receiv rebat,1
think realli user friendli interfac wise offer realli competit price importantli product usual good qualiti despit cheap price realli good,1
good respons local,1
good user experi,1
good,1
easi use good product great discount,1
great buy receiv good qualiti,1
quick deliveri servic good job,1
reason price good servic,1
best price good,1
love onlin shop experi deliveri time accur lot discount favorit choos,1
definit one best onlin store run promo v often direct chat function time give prompt repli deliveri retail fast mani time free payment secur releas retail good confirm receiv good order buyer definit go site onlin purchas highli recommend,1
far good,1
great onlin shop experi purchas mani,1
order cancel voucher purchas coin refund us,-1
unrespons disappoint custom servic system order auto cancel system despit fail ship product despit put cancel request still wait acknowledg servic laps custom servic,-1
love,1
enjoy shop trust platform shop good job,1
yet bit disappoint nitril glove order,1
good easi use good servic receiv damag take photo n send repli within day n get refund back like servic servic import give star,1
horribl appt keep error payment custom advis uninstal n reinstal appt still didnt solv issu dont problem qo ezbuy disappoint kind servic,-1
good app lot choic howev need filter,1
good app lousi logist order south korea china vendor china week korea week also never get day spore warehous still sort,-1
good process,1
love million star,1
good one,1
far good hope card info safe hand experi anoth onlin platform withdrew money small amount went greedi draw big thu bank alert pleas auto save card detail seem checkbox allow user click unsav thank,1
bought mani thing site recent cheaper onlin retail wait time much longer take month servic poor littl resolut defect faulti u hour make complain regard st complaint within hr ignor payment releas due oversight promis call back none get mani defect counterfeit product feel lazada better platform least u feedback high chanc refund platform full counterfeit sell fake oem product claim genuin u r screw u might well ship directli alibaba taobao,-1
product super cheap great need transfer money via atm onlin await product receiv set good qualiti second week purchas problem print bit blur ok still usabl rest perfect custom servic repli slow btw,1
clear prompt deliveri process good experi,1
purchas least send wrongli send ref ask answer long time buyer q total abt purchas zero shortfal actual even one star shield neg load app purchas good luck,-1
good,1
good,1
love free ship sometim want get best place sometim buggi crash close reopen,1
useless china scammer,-1
great shop price afford qualiti good far hope use shop philippin well chang currenc singapor use sg unlik app chang countri currenc prefer,1
excel great,1
realli good sometim major promo period experi lag,1
good,1
great deal shop back,1
good ship form,1
reliabl great game gener toward buyer game reward unlik onlin platform howev sometim minor glitch within fix,1
good,1
cheap stuff good deal custom servic repli quick often irrelev help,-1
love stuff bought far,1
parcel receiv good condit,1
good platform buy stuff,1
